Gene_symbol	NAME	M189	L189	M190	L190	M183	L183
A1BG	alpha-1-B glycoprotein	4.53815589152393	9.36563039470011	11.005579192191	8.53174191499991	4.73758269712541	10.0091527969585
A1BG-AS1	A1BG antisense RNA 1	8.09508888758322	9.90856549004505	9.61246790204022	7.16666320859992	6.43825340891402	11.4597546515902
A1CF	APOBEC1 complementation factor	0.490611447732317	1.35733773836234	1.11448903212061	0.910052470933324	1.45771775296166	3.33638426565283
A2M	alpha-2-macroglobulin	1577.6837630452	2178.25560252388	1666.43972527834	1743.88804742598	1453.58755266161	1514.71845660638
A2M-AS1	A2M antisense RNA 1 (head to head)	6.74590740631935	5.29361717961311	5.43313403158795	8.07671567953325	10.2040242707317	4.351805563895
A2ML1	alpha-2-macroglobulin-like 1	2.57571010059466	1.76453905987104	2.64691145128644	4.89153203126661	3.15838846475027	5.80240741852666
A2MP1	alpha-2-macroglobulin pseudogene 1	0.367958585799238	0	0.417933387045227	0.455026235466662	0.121476479413472	0
A3GALT2	alpha 1,3-galactosyltransferase 2	0.122652861933079	0.135733773836234	0.139311129015076	0	0	0.290120370926333
A4GALT	alpha 1,4-galactosyltransferase	28.7007696923405	24.2963455166858	25.2153143517287	32.7618889535997	22.9590546091462	18.5677037392853
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	0.245305723866158	0.407201321508701	0.139311129015076	0	0	0.290120370926333
AA06	NA	0	0	0	0	0	0
AAAS	achalasia, adrenocortical insufficiency, alacrimia	17.9073178422296	28.6398262794453	29.2553370931659	32.1931061592663	26.23891955331	28.2867361653175
AACS	acetoacetyl-CoA synthetase	10.6707989881779	20.7672673969437	17.2745799978694	19.7936412427998	13.6053656943089	17.40722225558
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	0.858570033531554	0.407201321508701	0.696555645075378	0.227513117733331	0.485905917653888	0.580240741852666
AADAC	arylacetamide deacetylase	0	0.542935095344934	0	0	0.121476479413472	0.725300927315833
AADACL2	arylacetamide deacetylase-like 2	1.34918148126387	1.90027283370727	0.557244516060303	0	0.850335355894304	0.580240741852666
AADACL2-AS1	AADACL2 antisense RNA 1	0.367958585799238	5.15788340577687	0.417933387045227	0.455026235466662	1.33624127354819	4.49686574935816
AADACL3	arylacetamide deacetylase-like 3	0.367958585799238	0.542935095344934	0.139311129015076	0.227513117733331	0.485905917653888	0.725300927315833
AADACL4	arylacetamide deacetylase-like 4	0.122652861933079	0	0	0	0	0
AADACP1	arylacetamide deacetylase pseudogene 1	0.245305723866158	0.407201321508701	0.139311129015076	0.113756558866665	0.242952958826944	0.145060185463167
